ticker,end_period_ts,period_minutes,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,volume,open_interest,source,raw_json
KXBTC15M-26SEP051745-45,1788643860,1,0,0.5,0,0.46,0.999,0.999,0.46,0.47,0.49,0.51,0.45,0.47,118271.9,83012.83,live,"{""end_period_ts"":1788643860,""open_interest_fp"":""83012.83"",""price"":{""close_dollars"":""0.4700"",""high_dollars"":""0.5100"",""low_dollars"":""0.4500"",""mean_dollars"":""0.4765"",""open_dollars"":""0.4900""},""volume_fp"":""118271.90"",""yes_ask"":{""close_dollars"":""0.4700"",""high_dollars"":""0.9990"",""low_dollars"":""0.4600"",""open_dollars"":""0.9990""},""yes_bid"":{""close_dollars"":""0.4600"",""high_dollars"":""0.5000"",""low_dollars"":""0.0000"",""open_dollars"":""0.0000""}}"
KXBTC15M-26SEP051745-45,1788643920,1,0.46,0.61,0.42,0.44,0.47,0.62,0.43,0.45,0.47,0.62,0.42,0.44,119873.03,136794.73,live,"{""end_period_ts"":1788643920,""open_interest_fp"":""136794.73"",""price"":{""close_dollars"":""0.4400"",""high_dollars"":""0.6200"",""low_dollars"":""0.4200"",""mean_dollars"":""0.5193"",""open_dollars"":""0.4700"",""previous_dollars"":""0.4700""},""volume_fp"":""119873.03"",""yes_ask"":{""close_dollars"":""0.4500"",""high_dollars"":""0.6200"",""low_dollars"":""0.4300"",""open_dollars"":""0.4700""},""yes_bid"":{""close_dollars"":""0.4400"",""high_dollars"":""0.6100"",""low_dollars"":""0.4200"",""open_dollars"":""0.4600""}}"
KXBTC15M-26SEP051745-45,1788643980,1,0.44,0.47,0.38,0.41,0.45,0.48,0.39,0.42,0.45,0.48,0.38,0.41,79590.03,164299.59,live,"{""end_period_ts"":1788643980,""open_interest_fp"":""164299.59"",""price"":{""close_dollars"":""0.4100"",""high_dollars"":""0.4800"",""low_dollars"":""0.3800"",""mean_dollars"":""0.4349"",""open_dollars"":""0.4500"",""previous_dollars"":""0.4400""},""volume_fp"":""79590.03"",""yes_ask"":{""close_dollars"":""0.4200"",""high_dollars"":""0.4800"",""low_dollars"":""0.3900"",""open_dollars"":""0.4500""},""yes_bid"":{""close_dollars"":""0.4100"",""high_dollars"":""0.4700"",""low_dollars"":""0.3800"",""open_dollars"":""0.4400""}}"
KXBTC15M-26SEP051745-45,1788644040,1,0.41,0.43,0.4,0.41,0.42,0.44,0.42,0.42,0.42,0.44,0.4,0.42,77535.9,195025.23,live,"{""end_period_ts"":1788644040,""open_interest_fp"":""195025.23"",""price"":{""close_dollars"":""0.4200"",""high_dollars"":""0.4400"",""low_dollars"":""0.4000"",""mean_dollars"":""0.4217"",""open_dollars"":""0.4200"",""previous_dollars"":""0.4100""},""volume_fp"":""77535.90"",""yes_ask"":{""close_dollars"":""0.4200"",""high_dollars"":""0.4400"",""low_dollars"":""0.4200"",""open_dollars"":""0.4200""},""yes_bid"":{""close_dollars"":""0.4100"",""high_dollars"":""0.4300"",""low_dollars"":""0.4000"",""open_dollars"":""0.4100""}}"
KXBTC15M-26SEP051745-45,1788644100,1,0.41,0.41,0.38,0.39,0.42,0.42,0.39,0.4,0.42,0.42,0.38,0.4,40972.74,208987.65,live,"{""end_period_ts"":1788644100,""open_interest_fp"":""208987.65"",""price"":{""close_dollars"":""0.4000"",""high_dollars"":""0.4200"",""low_dollars"":""0.3800"",""mean_dollars"":""0.4006"",""open_dollars"":""0.4200"",""previous_dollars"":""0.4200""},""volume_fp"":""40972.74"",""yes_ask"":{""close_dollars"":""0.4000"",""high_dollars"":""0.4200"",""low_dollars"":""0.3900"",""open_dollars"":""0.4200""},""yes_bid"":{""close_dollars"":""0.3900"",""high_dollars"":""0.4100"",""low_dollars"":""0.3800"",""open_dollars"":""0.4100""}}"
KXBTC15M-26SEP051745-45,1788644160,1,0.39,0.41,0.35,0.4,0.4,0.42,0.36,0.41,0.4,0.42,0.35,0.4,60234.99,225779.97,live,"{""end_period_ts"":1788644160,""open_interest_fp"":""225779.97"",""price"":{""close_dollars"":""0.4000"",""high_dollars"":""0.4200"",""low_dollars"":""0.3500"",""mean_dollars"":""0.3866"",""open_dollars"":""0.4000"",""previous_dollars"":""0.4000""},""volume_fp"":""60234.99"",""yes_ask"":{""close_dollars"":""0.4100"",""high_dollars"":""0.4200"",""low_dollars"":""0.3600"",""open_dollars"":""0.4000""},""yes_bid"":{""close_dollars"":""0.4000"",""high_dollars"":""0.4100"",""low_dollars"":""0.3500"",""open_dollars"":""0.3900""}}"
KXBTC15M-26SEP051745-45,1788644220,1,0.4,0.4,0.36,0.38,0.41,0.41,0.37,0.39,0.41,0.41,0.36,0.38,32448.8,241721.19,live,"{""end_period_ts"":1788644220,""open_interest_fp"":""241721.19"",""price"":{""close_dollars"":""0.3800"",""high_dollars"":""0.4100"",""low_dollars"":""0.3600"",""mean_dollars"":""0.3885"",""open_dollars"":""0.4100"",""previous_dollars"":""0.4000""},""volume_fp"":""32448.80"",""yes_ask"":{""close_dollars"":""0.3900"",""high_dollars"":""0.4100"",""low_dollars"":""0.3700"",""open_dollars"":""0.4100""},""yes_bid"":{""close_dollars"":""0.3800"",""high_dollars"":""0.4000"",""low_dollars"":""0.3600"",""open_dollars"":""0.4000""}}"
KXBTC15M-26SEP051745-45,1788644280,1,0.38,0.39,0.26,0.27,0.39,0.4,0.27,0.28,0.39,0.4,0.26,0.28,92260,273979.6,live,"{""end_period_ts"":1788644280,""open_interest_fp"":""273979.60"",""price"":{""close_dollars"":""0.2800"",""high_dollars"":""0.4000"",""low_dollars"":""0.2600"",""mean_dollars"":""0.3307"",""open_dollars"":""0.3900"",""previous_dollars"":""0.3800""},""volume_fp"":""92260.00"",""yes_ask"":{""close_dollars"":""0.2800"",""high_dollars"":""0.4000"",""low_dollars"":""0.2700"",""open_dollars"":""0.3900""},""yes_bid"":{""close_dollars"":""0.2700"",""high_dollars"":""0.3900"",""low_dollars"":""0.2600"",""open_dollars"":""0.3800""}}"
KXBTC15M-26SEP051745-45,1788644340,1,0.27,0.42,0.25,0.41,0.28,0.43,0.27,0.42,0.28,0.42,0.26,0.42,80980.33,284213.68,live,"{""end_period_ts"":1788644340,""open_interest_fp"":""284213.68"",""price"":{""close_dollars"":""0.4200"",""high_dollars"":""0.4200"",""low_dollars"":""0.2600"",""mean_dollars"":""0.3551"",""open_dollars"":""0.2800"",""previous_dollars"":""0.2800""},""volume_fp"":""80980.33"",""yes_ask"":{""close_dollars"":""0.4200"",""high_dollars"":""0.4300"",""low_dollars"":""0.2700"",""open_dollars"":""0.2800""},""yes_bid"":{""close_dollars"":""0.4100"",""high_dollars"":""0.4200"",""low_dollars"":""0.2500"",""open_dollars"":""0.2700""}}"
KXBTC15M-26SEP051745-45,1788644400,1,0.41,0.63,0.36,0.62,0.42,0.64,0.37,0.63,0.41,0.64,0.36,0.62,124334.58,254241.8,live,"{""end_period_ts"":1788644400,""open_interest_fp"":""254241.80"",""price"":{""close_dollars"":""0.6200"",""high_dollars"":""0.6400"",""low_dollars"":""0.3600"",""mean_dollars"":""0.4916"",""open_dollars"":""0.4100"",""previous_dollars"":""0.4200""},""volume_fp"":""124334.58"",""yes_ask"":{""close_dollars"":""0.6300"",""high_dollars"":""0.6400"",""low_dollars"":""0.3700"",""open_dollars"":""0.4200""},""yes_bid"":{""close_dollars"":""0.6200"",""high_dollars"":""0.6300"",""low_dollars"":""0.3600"",""open_dollars"":""0.4100""}}"
