ticker,second_ts,yes_open,yes_high,yes_low,yes_close,contracts,trade_count,yes_vwap
KXBTC15M-26SEP051745-45,1788643800,0.49,0.49,0.49,0.49,30.21,3,0.49000000000000005
KXBTC15M-26SEP051745-45,1788643801,0.5,0.5,0.49,0.49,46.260000000000005,5,0.4900540423692174
KXBTC15M-26SEP051745-45,1788643802,0.49,0.49,0.49,0.49,12.93,2,0.49000000000000005
KXBTC15M-26SEP051745-45,1788643803,0.49,0.5,0.49,0.5,148.79,15,0.492596948719672
KXBTC15M-26SEP051745-45,1788643804,0.49,0.5,0.49,0.49,576.88,23,0.4900173346276522
KXBTC15M-26SEP051745-45,1788643805,0.5,0.5,0.48,0.49,1125.55,23,0.49075598596241843
KXBTC15M-26SEP051745-45,1788643806,0.49,0.5,0.49,0.5,893.37,28,0.4926818675352877
KXBTC15M-26SEP051745-45,1788643807,0.49,0.5,0.49,0.49,1317.88,40,0.4919335599599356
KXBTC15M-26SEP051745-45,1788643808,0.5,0.5,0.49,0.49,4628.23,59,0.49228787246960504
KXBTC15M-26SEP051745-45,1788643809,0.49,0.5,0.49,0.49,2483.37,38,0.49523699650072284
KXBTC15M-26SEP051745-45,1788643810,0.49,0.5,0.49,0.49,1958.6,37,0.4916417338915552
KXBTC15M-26SEP051745-45,1788643811,0.49,0.5,0.49,0.49,3408.46,34,0.49647227780287867
KXBTC15M-26SEP051745-45,1788643812,0.49,0.51,0.49,0.5,4382.91,53,0.4954236112537105
KXBTC15M-26SEP051745-45,1788643813,0.49,0.5,0.49,0.49,1299.1,37,0.4922718035563082
KXBTC15M-26SEP051745-45,1788643814,0.49,0.5,0.49,0.49,2627.5,25,0.49354614652711704
KXBTC15M-26SEP051745-45,1788643815,0.49,0.5,0.48,0.5,1750.99,36,0.4928808845281812
KXBTC15M-26SEP051745-45,1788643816,0.49,0.5,0.48,0.49,1776.86,50,0.4855556993798048
KXBTC15M-26SEP051745-45,1788643817,0.49,0.5,0.48,0.5,3618.11,50,0.4930751690799892
KXBTC15M-26SEP051745-45,1788643818,0.49,0.5,0.48,0.49,1812.41,35,0.4902754343663961
KXBTC15M-26SEP051745-45,1788643819,0.5,0.5,0.48,0.48,1927.48,38,0.4872958474277294
KXBTC15M-26SEP051745-45,1788643820,0.5,0.5,0.48,0.5,2161.5,36,0.4922841545223225
KXBTC15M-26SEP051745-45,1788643821,0.5,0.5,0.49,0.5,1176.6,26,0.49315867754547005
KXBTC15M-26SEP051745-45,1788643822,0.49,0.5,0.48,0.5,1232.11,52,0.4885179083036417
KXBTC15M-26SEP051745-45,1788643823,0.49,0.5,0.48,0.49,622.81,23,0.48741028564088573
KXBTC15M-26SEP051745-45,1788643824,0.48,0.49,0.47,0.48,541.92,30,0.47706875553587247
KXBTC15M-26SEP051745-45,1788643825,0.48,0.48,0.47,0.48,379.63,14,0.4777688802254827
KXBTC15M-26SEP051745-45,1788643826,0.48,0.48,0.47,0.48,3724.48,39,0.47480751675401667
KXBTC15M-26SEP051745-45,1788643827,0.48,0.48,0.47,0.47,1415.92,19,0.4758458104977682
KXBTC15M-26SEP051745-45,1788643828,0.47,0.48,0.47,0.47,549.93,24,0.47554634226174247
KXBTC15M-26SEP051745-45,1788643829,0.48,0.48,0.47,0.47,1447.76,38,0.4730840056362933
KXBTC15M-26SEP051745-45,1788643830,0.47,0.48,0.47,0.48,563.9,16,0.4769631140273098
KXBTC15M-26SEP051745-45,1788643831,0.47,0.48,0.47,0.47,1010.96,27,0.4773404486824404
KXBTC15M-26SEP051745-45,1788643832,0.47,0.48,0.47,0.48,2403.42,40,0.4742748666483594
KXBTC15M-26SEP051745-45,1788643833,0.47,0.48,0.47,0.47,3411.66,38,0.4749808304461758
KXBTC15M-26SEP051745-45,1788643834,0.48,0.48,0.46,0.48,7491.21,67,0.47245319514470957
KXBTC15M-26SEP051745-45,1788643835,0.48,0.48,0.47,0.48,1023.61,21,0.47083801447817036
KXBTC15M-26SEP051745-45,1788643836,0.47,0.48,0.47,0.47,2608.16,59,0.47401106527206915
KXBTC15M-26SEP051745-45,1788643837,0.48,0.48,0.45,0.47,4599.09,61,0.46411774938085576
KXBTC15M-26SEP051745-45,1788643838,0.46,0.47,0.46,0.47,2275.71,37,0.46883196892398415
KXBTC15M-26SEP051745-45,1788643839,0.46,0.47,0.46,0.46,2709.4,61,0.467567579537905
KXBTC15M-26SEP051745-45,1788643840,0.47,0.47,0.45,0.47,4123.6,53,0.4575787661266854
KXBTC15M-26SEP051745-45,1788643841,0.46,0.46,0.45,0.46,1549.85,38,0.4591624350743621
KXBTC15M-26SEP051745-45,1788643842,0.46,0.47,0.46,0.46,4759.650000000001,75,0.4685646213482083
KXBTC15M-26SEP051745-45,1788643843,0.47,0.47,0.45,0.47,918.25,34,0.45964911516471546
KXBTC15M-26SEP051745-45,1788643844,0.46,0.47,0.46,0.46,2475.85,41,0.46541999717268817
KXBTC15M-26SEP051745-45,1788643845,0.46,0.47,0.46,0.46,736.31,26,0.468576958074724
KXBTC15M-26SEP051745-45,1788643846,0.46,0.47,0.46,0.46,3627.4300000000003,45,0.46096473260683185
KXBTC15M-26SEP051745-45,1788643847,0.46,0.47,0.45,0.46,2306.16,36,0.4650306570229299
KXBTC15M-26SEP051745-45,1788643848,0.46,0.47,0.46,0.47,1469.22,46,0.4678283715168593
