ticker,signal_time,exit_time,volatility,trend,side,pnl,cost,exit
KXBTC15M-26AUG220800-00,2026-08-22T11:47:00.000Z,2026-08-22T11:52:00.000Z,medium,BULLISH,yes,-0.55,1.06,STOP_LOSS
KXBTC15M-26AUG220900-00,2026-08-22T12:48:00.000Z,2026-08-22T12:52:00.000Z,low,BULLISH,yes,-0.87,1.22,STOP_LOSS
KXBTC15M-26AUG230330-30,2026-08-23T07:18:00.000Z,2026-08-23T07:23:00.000Z,medium,BULLISH,yes,-0.75,1.18,STOP_LOSS
KXBTC15M-26AUG231700-00,2026-08-23T20:49:00.000Z,2026-08-23T20:53:00.000Z,low,BULLISH,yes,-0.26000000000000023,1.59,SCALP_TAKE_PROFIT
KXBTC15M-26AUG250130-30,2026-08-25T05:19:00.000Z,2026-08-25T05:27:00.000Z,low,BULLISH,yes,0.6699999999999999,1.1400000000000001,SCALP_TAKE_PROFIT
KXBTC15M-26AUG251045-45,2026-08-25T14:34:00.000Z,2026-08-25T14:38:00.000Z,medium,BULLISH,yes,0.040000000000000036,1,SCALP_TAKE_PROFIT
KXBTC15M-26AUG260500-00,2026-08-26T08:48:00.000Z,2026-08-26T08:53:00.000Z,low,BEARISH,no,0.45399999999999996,1.34,SCALP_TAKE_PROFIT
KXBTC15M-26AUG260730-30,2026-08-26T11:17:00.000Z,2026-08-26T11:22:00.000Z,low,NEUTRAL,yes,-0.30000000000000016,1.12,STOP_LOSS
KXBTC15M-26AUG261630-30,2026-08-26T20:19:00.000Z,2026-08-26T20:22:00.000Z,low,NEUTRAL,no,0.5599999999999998,1.1400000000000001,SCALP_TAKE_PROFIT
KXBTC15M-26AUG261715-15,2026-08-26T21:01:00.000Z,2026-08-26T21:07:00.000Z,low,BULLISH,yes,0.55,0.98,SCALP_TAKE_PROFIT
KXBTC15M-26AUG261845-45,2026-08-26T22:33:00.000Z,2026-08-26T22:38:00.000Z,medium,BULLISH,no,0.44999999999999996,1.8800000000000001,SCALP_TAKE_PROFIT
KXBTC15M-26AUG262130-30,2026-08-27T01:18:00.000Z,2026-08-27T01:25:00.000Z,low,BEARISH,no,-1.31,1.56,STOP_LOSS
