ticker,ts,outcome_ms,label,pnl,features
KXBTC15M-26SEP042215-15,1788573660000,1788574320000,0,-1.7099999999999995,"[-0.8847503351431024,0.8847503351431024,0,0.9333333333333333,6.666666666666665,0.9979483477548355,0,22.57606072799666,0.8206084858239733,0.64,6,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.11901695449715456,-0.25334373708861824,0.5,0,0,100]"
KXBTC15M-26SEP042245-45,1788575640000,1788575880000,0,-0.56,"[-0.19297032367856273,0.19297032367856273,0,0.7333333333333333,26.66666666666667,0.9526696280928157,0,15.349161882613217,0.5934916188261321,0.44,3,0.9999999999999898,0.9999999999999898,100.99999999999997,-0.9999999999999787,1,0,0,0,0,0,0.03598931322784915,0.06219086215808467,0,-1.7099999999999937,-1,98.29]"
KXBTC15M-26SEP042315-15,1788577260000,1788577440000,1,0.0900000000000003,"[-0.25091391340895713,0.25091391340895713,0,0.9333333333333333,6.666666666666665,0.38292655473081655,0,26.11940037672723,0.7511940037672723,0.49,7,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.013012653902950751,0.008911290429014507,0,-2.269999999999996,-2,97.73]"
KXBTC15M-26SEP050045-45,1788582660000,1788583020000,1,0.6200000000000001,"[-0.4189213742128451,0.4189213742128451,0,0.9333333333333333,6.666666666666665,0.4037776846192308,0,23.857063590437566,0.8585706359043757,0.62,7,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.014030488998659772,-0.0125185452947707,0.3333333333333333,-2.1799999999999926,1,97.82000000000001]"
KXBTC15M-26SEP050130-30,1788585540000,1788585840000,1,1.0099999999999993,"[-0.45653504852098226,0.45653504852098226,0,0.7333333333333333,26.66666666666667,0.8749738630785555,0,15.88359293077868,0.7288359293077868,0.57,6,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.02037522902428458,0.008964694693691655,0.5,-1.559999999999988,2,98.44000000000001]"
KXBTC15M-26SEP050200-00,1788587160000,1788587640000,0,-2.8100000000000005,"[-0.7138834366600375,0.7138834366600375,0,0.9333333333333333,6.666666666666665,0.4261184547650298,0,31.855143983917202,0.958551439839172,0.64,7,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.007263067682550846,-0.0653720298210203,0.6,-0.549999999999983,3,99.45000000000002]"
KXBTC15M-26SEP050215-15,1788588060000,1788588420000,0,-0.7199999999999998,"[-0.2448630889937903,0.2448630889937903,0,0.9333333333333333,6.666666666666665,0.5806750726817588,0,16.87584179748046,0.6687584179748046,0.5,5,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.029190857867000427,-0.02198671725872625,0.5,-3.359999999999985,-1,96.64000000000001]"
KXBTC15M-26SEP050315-15,1788591660000,1788591900000,0,-0.3099999999999994,"[-0.5215811740822057,0.5215811740822057,0,0.9333333333333333,6.666666666666665,0.6483839243143457,0,21.74837369574756,0.7974837369574757,0.58,6,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.03157630961113478,-0.009805763026471404,0.42857142857142855,-4.079999999999984,-2,95.92000000000002]"
KXBTC15M-26SEP050345-45,1788593580000,1788593880000,0,-1.4999999999999998,"[-0.32645978505826095,0.32645978505826095,0,0.8,19.999999999999996,0.4350240119588205,0,16.156233178001155,0.7992705529666859,0.53,7,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,1,0.052904564562216004,0.02650368905749989,0.375,-4.389999999999986,-3,95.61000000000001]"
KXBTC15M-26SEP050430-30,1788596160000,1788596400000,1,0.2999999999999998,"[-0.19076973202264033,0.19076973202264033,0,0.9333333333333333,6.666666666666665,0.7485184630368084,0,19.25451869553532,0.6040361495642825,0.45,4,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.05008178185243624,-0.1219669834071957,0.3333333333333333,-5.889999999999986,-4,94.11000000000001]"
KXBTC15M-26SEP050545-45,1788600660000,1788601080000,1,0.13000000000000078,"[-0.16823246640718167,0.16823246640718167,0,0.9333333333333333,6.666666666666665,0.13617383182054765,0,23.370819961131442,0.8995136660188574,0.51,9,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,1,0.0376897206487165,0.03761873531009652,0.4,-5.589999999999989,1,94.41000000000001]"
KXBTC15M-26SEP050600-00,1788601620000,1788601800000,0,-0.11000000000000032,"[-0.4052205559389295,0.4052205559389295,0,0.8666666666666667,13.33333333333333,0.6076703402097909,0,15.387281085349523,0.7630982486827962,0.64,5,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.01695793492775034,-0.053829815720085605,0.45454545454545453,-5.459999999999994,2,94.54]"
KXBTC15M-26SEP050615-15,1788602460000,1788602880000,1,0.2700000000000009,"[-0.12065815823671576,0.12065815823671576,0,0.9333333333333333,6.666666666666665,0.30054484480403615,0,21.391538722950493,0.6611323097836039,0.49,5,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.05309531685714948,-0.07632589740333984,0.4166666666666667,-5.569999999999993,-1,94.43]"
KXBTC15M-26SEP050630-30,1788603360000,1788603720000,1,1.04,"[-0.1574693396271863,0.1574693396271863,0,0.9333333333333333,6.666666666666665,0.11565120293579007,0,62.57977816658637,0.920638225332691,0.42,11,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.0467824380272244,-0.037977579041703624,0.46153846153846156,-5.299999999999997,1,94.7]"
KXBTC15M-26SEP050700-00,1788605220000,1788605400000,1,0.3400000000000001,"[-0.22256351977927985,0.22256351977927985,0,0.8666666666666667,13.33333333333333,0.7099615059418439,0,18.980377884637715,0.6318430230771017,0.48,4,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.03927290083546431,-0.02764311024049393,0.5,-4.259999999999991,2,95.74000000000001]"
KXBTC15M-26SEP050715-15,1788606060000,1788606360000,0,-0.7600000000000002,"[-0.4284882274962974,0.4284882274962974,0,0.9333333333333333,6.666666666666665,0.507850567028494,0,22.34522697623277,0.8087618158098622,0.63,6,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,1,0,0.0011610724375534438,-0.029444466417927195,0.5333333333333333,-3.9199999999999875,3,96.08000000000001]"
KXBTC15M-26SEP050745-45,1788607860000,1788608460000,1,2.5999999999999988,"[-0.1916141558914172,0.1916141558914172,0,0.9333333333333333,6.666666666666665,0.1,0,52.232652832374136,0.9723265283237413,0.45,11,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.014110688165604065,0.0074731844557751614,0.5,-4.679999999999993,-1,95.32000000000001]"
KXBTC15M-26SEP050845-45,1788611580000,1788611880000,1,0.3200000000000003,"[-0.2643302848327969,0.2643302848327969,0,0.8,19.999999999999996,0.6061502754159592,0,16.706666979343467,0.6870666697934347,0.52,5,1.0000000000000009,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.006257560361172476,-0.0027744927448836165,0.5294117647058824,-2.0799999999999983,1,97.92]"
KXBTC15M-26SEP050915-15,1788613440000,1788613620000,1,0.4200000000000008,"[-0.37568067819721995,0.37568067819721995,0,0.7333333333333333,26.66666666666667,0.801566794780809,0,16.791499873650608,0.7079149987365061,0.54,5,0.9999999999999953,1.0000000000000009,101,-1.0000000000000009,1,0,0,0,0,0,0.030551907334560046,0.012236098725115774,0.5555555555555556,-1.759999999999991,2,98.24000000000001]"
